qId;qTxt;ansId;ansTxt;quExplain;ansExplain
1;Quelle pratique est responsable du déplacement des composants vers les environnements de production ?;A;L'habilitation des changements;;« Le but de la pratique d'habilitation des changements est de maximiser le nombre de changements apportés avec succès aux services et aux produits, en s'assurant que les risques ont été correctement évalués, en autorisant les changements et en gérant le calendrier des changements. » Réf. 5.2.4
1;Quelle pratique est responsable du déplacement des composants vers les environnements de production ?;B;La gestion des mises en production;;« Le but de la pratique de gestion des mises en production est de mettre à disposition des services et des fonctionnalités nouveaux ou modifiés. » Réf. 5.2.9
1;Quelle pratique est responsable du déplacement des composants vers les environnements de production ?;C;La gestion des actifs informatiques;;« Le but de la pratique de gestion des actifs informatiques est de planifier et de gérer le cycle de vie complet de tous les actifs informatiques. » Réf. 5.2.6
1;Quelle pratique est responsable du déplacement des composants vers les environnements de production ?;D;La gestion des déploiements;;« Le but de la pratique de gestion des déploiements est de déplacer du matériel, des logiciels, de la documentation, des processus ou tout autre composant nouveaux ou modifiés vers des environnements de production. » Réf. 5.3.1
2;Quelle pratique inclue la classification et la propriété des questions et des demandes des utilisateurs ?;A;Le centre de services;;« Les centres de services offrent aux utilisateurs un moyen clair de signaler des difficultés, des questions ou des demandes, ainsi que d'obtenir confirmation de leur réception, de les classer, d'en être propriétaires et d'y donner suite. » Réf. 5.2.14
2;Quelle pratique inclue la classification et la propriété des questions et des demandes des utilisateurs ?;B;La gestion des incidents;;"La pratique de ""gestion des incidents"" ne traite que les incidents, pas les questions et les demandes. « Le but de la pratique de gestion des incidents est de réduire l'impact négatif des incidents, en restaurant l'exploitation normale des services aussi rapidement que possible. » Réf. 5.2.5"
2;Quelle pratique inclue la classification et la propriété des questions et des demandes des utilisateurs ?;C;L'habilitation des changements;;"La pratique de ""habilitation des changements"" ne traite que les demandes de changement, pas les autres questions et demandes. « Le but de la pratique d'habilitation des changements est de maximiser le nombre de changements apportés avec succès aux services et aux produits, en s'assurant que les risques ont été correctement évalués, en autorisant les changements et en gérant le calendrier des changements. » Réf. 5.2.4"
2;Quelle pratique inclue la classification et la propriété des questions et des demandes des utilisateurs ?;D;La gestion des niveaux de service;;"La pratique de ""gestion des niveaux de service"" s'assure que les cibles du service sont atteintes. Elle ne gère pas les questions ou les demandes des utilisateurs. « Le but de la pratique de gestion des niveaux de service est de définir des cibles claires basées sur le business, en matière de performances des services, afin que la fourniture d’un service puisse être correctement évaluée, surveillée et gérée par rapport à ces cibles. » Réf. 5.2.15"
3;Quelle pratique identifie les métriques qui reflètent l'expérience d'un service pour le client ?;A;L'amélioration continue;;« Le but de la pratique d'amélioration continue est d'aligner les pratiques et services de l'organisation sur les besoins business évolutifs via l'amélioration continue des produits, des services, des pratiques et de tous les éléments impliqués dans la gestion des produits et services. » Réf. 5.1.2
3;Quelle pratique identifie les métriques qui reflètent l'expérience d'un service pour le client ?;B;Le centre de services;;« Le but de la pratique du centre de services est de capturer la demande de résolution des incidents et les demandes de services. Elle doit également être le point d'entrée et le point de contact unique pour le fournisseur de services avec tous ses utilisateurs. » Réf. 5.2.14
